spheroid_id,frame,total_area,equivalent_diameter,solidity,perimeter,circularity
VID1797_A1,0.0,241215,554.188124000589,0.7142730236566017,4570.444876303172,0.1451099606576983
VID1797_A1,1.0,289449,607.0732352723584,0.7557730871263552,4758.515944115037,0.1606345125972373
VID1797_A1,2.0,336717,654.7682030952556,0.8122293811013631,5472.439825669288,0.1412904856086481
VID1797_A1,3.0,313053,631.3410007262137,0.7819639208476752,5495.623591853362,0.1302548117548973
VID1797_A1,4.0,294999,612.8657213919932,0.7696556366378197,4447.290547370621,0.1874301276647167
VID1797_A1,5.0,327600,645.843072932767,0.808021014465944,5064.297690045558,0.1605148820961491
VID1797_A1,6.0,336882,654.9286100862224,0.8010262433927854,5851.896715812531,0.1236216016517941
VID1797_A1,7.0,341313,659.2216688885405,0.8186829133735504,5278.824601980139,0.1539175812503544
VID1797_A1,8.0,339870,657.8266671921562,0.7986586801581949,5583.209378290989,0.137010820110192
VID1797_A1,9.0,362151,679.0471076187454,0.8355023497357268,4948.427632360469,0.1858510872198078
VID1797_A1,10.0,361329,678.2760289584261,0.806125886544601,5093.113923861484,0.1750434650635263
VID1797_A1,11.0,367344,683.8983165070621,0.8033679238061913,5581.043902070145,0.1482012740220008
VID1797_A1,12.0,369825,686.2039162170976,0.8286113743757267,5230.155554421826,0.169893560633752
VID1797_A1,13.0,369285,685.7027528583537,0.8333765873275576,5711.765727477093,0.142242952741734
VID1797_A1,14.0,377268,693.0746976792223,0.8370080801537049,5390.138310479124,0.163177402337065
VID1797_A1,15.0,376629,692.4874991608582,0.8611438200654382,5031.386001800126,0.1869598482465858
VID1797_A1,16.0,381537,696.9849325341401,0.8402603122866519,5244.5697679842,0.1743118010730578
VID1797_A1,17.0,377898,693.6531391670685,0.823034637767014,5845.907863100823,0.1389570306219473
VID1797_A1,18.0,376074,691.9770867208911,0.8044122742848343,5802.978930912689,0.1403399074772741
VID1797_A1,19.0,387006,701.9624941902355,0.8478049421661409,5587.552524041496,0.1557701811720749
VID1797_A1,20.0,379236,694.8800414367822,0.8671244246585679,5147.469262920811,0.1798588851933344
VID1797_A1,21.0,386190,701.2220616760945,0.8280568891099767,5896.13325984524,0.1395970712565211
VID1797_A1,22.0,370791,687.0995299313599,0.8385901031300886,5485.540330732676,0.1548460828274371
VID1797_A1,23.0,376368,692.2475142410291,0.8383761207328618,5302.0844866099615,0.1682400031189123
VID1797_A1,24.0,383757,699.0097195096301,0.8258131017297107,5612.167747730647,0.1531104691363037
VID1797_A1,25.0,379170,694.8195723907262,0.8372361073389816,5610.380951166242,0.1513767336317337
VID1797_A1,26.0,374910,690.905375371085,0.8510759046838572,5518.581961293019,0.1546970010338352
VID1797_A1,27.0,386001,701.0504528971632,0.8322412889788685,5756.49364953845,0.1463801655604635
VID1797_A1,28.0,393948,708.2303101176395,0.8424190454602802,5585.380951166242,0.1586876632276
VID1797_A1,29.0,398115,711.9661237392122,0.8489877998588272,5482.238815542512,0.1664571691887585
VID1797_A1,30.0,384318,699.520460997052,0.8514647920400743,5216.120020515894,0.1775028939977063
VID1797_A1,31.0,385944,700.9986896230746,0.8683631454606817,5161.398195108946,0.1820536650497276
VID1797_A1,32.0,383070,698.3837572579267,0.8684760011154363,5287.824601980139,0.1721606618245248
VID1797_A1,33.0,378897,694.5693945039034,0.8607461221819371,5341.238815542512,0.166896426483206
VID1797_A1,34.0,384336,699.5368422501659,0.8522486124261864,5303.481456229631,0.1717112780008306
VID1797_A1,35.0,388992,703.7613210354917,0.86952206597327,4973.829652614022,0.1975917098756597
VID1797_A1,36.0,382857,698.1895676524178,0.8708103608275561,5178.398195108946,0.1794136868128093
VID1797_A1,37.0,390672,705.2794052152491,0.8844135557919997,4838.56367132979,0.2096955571722118
VID1797_A1,38.0,380025,695.6025143628941,0.8618969103028461,4978.587011926903,0.1926681059943427
VID1797_A1,39.0,384663,699.8343682589916,0.8606899607092033,4908.143361113007,0.2006576859136005
VID1797_A1,40.0,379812,695.407548107548,0.8595695951007439,4879.55757467538,0.20045535041878
VID1797_A1,41.0,381525,696.9739717558202,0.8562704515156003,4915.528137423857,0.1984232196007943
VID1797_A1,42.0,384048,699.2746961505541,0.8519689336412462,4995.94235098623,0.1933572831224437
VID1797_A1,43.0,381648,697.0863115634143,0.8662930453316627,4925.178895018939,0.1977100906614435
VID1797_A1,44.0,370395,686.7325252033579,0.8553505160114818,5203.912913734707,0.1718758817658484
VID1797_A1,45.0,371127,687.4107742237728,0.8607021018527752,5081.5697679842,0.1806078529243271
VID1797_A1,46.0,375537,691.4828695717695,0.8642312551635895,5250.238815542512,0.1712002835776961
VID1797_A1,47.0,360240,677.25313849062,0.8360467410097822,5217.327127297081,0.1663051361570328
